Altium Designer Pick and Place Locations
C:\Users\HP\AppData\Local\TempReleases\Snapshot\1\Assembly Q42\Q42 PMP_V2.1_PICK & PLACE\Q42 PMP_V2.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       07/09/22
Time:       08:22
Revision:   Not in VersionControl
Variant:    Q42
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"CON6","PICOBLADE_10PIN","137.1750","68.7750","137.1750","68.7750","131.5500","70.2250","TopLayer","0","53261-1071"
"R21","RES0603","139.0000","101.5250","139.0000","101.5250","138.2500","101.5250","TopLayer","0","0R"
"P15","HDR1X3","128.5100","102.8250","131.0500","102.8250","131.0500","102.8250","TopLayer","180","Header 3"
"J1","COAXIAL-SWF","151.0000","98.0500","151.0000","98.0500","151.0000","99.2100","TopLayer","0","MM8130-2600"
"J2","COAXIAL-SWF","155.9600","38.5750","155.9600","38.5750","154.8000","38.5750","TopLayer","90","MM8130-2600"
"R59","RES0603","69.6652","74.2960","69.6652","74.2960","70.4152","74.2960","TopLayer","180","0R"
"U22","MSOP-10","59.3000","34.6750","59.3000","34.6750","61.3166","33.6750","TopLayer","180","FSUSB42MUX"
"T3","SOT-523","64.6750","33.9000","64.6750","33.9000","64.1245","34.4000","TopLayer","0","DMG1012T-7"
"C23","CAP0603","67.1500","107.2541","67.1500","107.2541","66.4000","107.2541","TopLayer","0","100nF"
"U13","BME280","67.1500","110.5300","67.1500","110.5300","66.1750","111.5000","TopLayer","90","BME280"
"R63","RES0603","66.4000","103.6448","66.4000","103.6448","66.4000","102.8948","TopLayer","90","0R"
"C29","CAP0603","67.1539","105.8648","67.1539","105.8648","67.9039","105.8648","TopLayer","180","1uF"
"U21","SOT-25","148.8000","71.0804","148.8000","71.0804","147.6000","72.0304","TopLayer","270","TCK106AF"
"U18","SOT-353","143.7708","101.8911","143.7708","101.8911","144.5717","101.2411","TopLayer","180","74LVC1G07SE-7"
"U17","TSOT26","138.4500","73.9000","138.4500","73.9000","139.8000","72.9500","TopLayer","180","DMG6602SVT"
"S2","SW","139.0250","107.1876","138.8550","107.1056","139.8250","105.1376","TopLayer","90","BTN - KMR221NGLFS"
"R129","RES0603","148.7750","66.8304","148.7750","66.8304","149.5250","66.8304","TopLayer","180","10k"
"R128","RES0603","148.7711","68.3607","148.7711","68.3607","149.5211","68.3607","TopLayer","180","100R"
"R127","RES0603","61.1028","38.0940","61.1028","38.0940","61.1028","38.8440","TopLayer","270","10k"
"R126","RES0603","62.6090","38.0942","62.6090","38.0942","62.6090","37.3442","TopLayer","90","5.1k"
"R120","RES0603","119.5250","71.7228","119.5250","71.7228","118.7750","71.7228","TopLayer","0","0R"
"R117","RES0603","58.1250","38.1000","58.1250","38.1000","58.1250","38.8500","TopLayer","270","0R"
"R116","RES0603","122.3250","70.1978","122.3250","70.1978","123.0750","70.1978","TopLayer","180","0R"
"R115","RES0603","148.8000","73.6750","148.8000","73.6750","149.5500","73.6750","TopLayer","180","0R"
"R114","RES0603","139.0050","103.0556","139.0050","103.0556","138.2550","103.0556","TopLayer","0","220R"
"R112","RES0603","124.7250","77.5750","124.7250","77.5750","123.9750","77.5750","TopLayer","0","100R"
"R111","RES0603","116.4250","75.9250","116.4250","75.9250","115.6750","75.9250","TopLayer","0","100R"
"R110","RES0603","124.7250","79.1000","124.7250","79.1000","123.9750","79.1000","TopLayer","0","100R"
"R109","RES0603","116.4250","77.4500","116.4250","77.4500","115.6750","77.4500","TopLayer","0","100R"
"R108","RES0603","116.4250","78.9750","116.4250","78.9750","115.6750","78.9750","TopLayer","0","100R"
"R107","RES0603","116.4250","80.5000","116.4250","80.5000","115.6750","80.5000","TopLayer","0","100R"
"R106","RES0603","124.7250","80.6250","124.7250","80.6250","123.9750","80.6250","TopLayer","0","100R"
"R105","RES0603","124.7250","82.1500","124.7250","82.1500","123.9750","82.1500","TopLayer","0","100R"
"R104","RES0603","124.7000","83.6750","124.7000","83.6750","123.9500","83.6750","TopLayer","0","100R"
"R103","RES0603","116.4250","85.0750","116.4250","85.0750","115.6750","85.0750","TopLayer","0","100R"
"R102","RES0603","124.7000","85.2000","124.7000","85.2000","123.9500","85.2000","TopLayer","0","100R"
"R100","RES0603","124.7000","86.7250","124.7000","86.7250","123.9500","86.7250","TopLayer","0","100R"
"R98","RES0603","142.6958","105.0661","142.6958","105.0661","142.6958","104.3161","TopLayer","90","1k"
"R97","RES0603","145.2958","105.0661","145.2958","105.0661","145.2958","104.3161","TopLayer","90","1k"
"R88","RES0603","69.4750","103.6500","69.4750","103.6500","69.4750","104.4000","TopLayer","270","0R"
"R84","RES0603","122.3250","67.1500","122.3250","67.1500","121.5750","67.1500","TopLayer","0","0R"
"R81","RES0603","119.5250","68.6750","119.5250","68.6750","120.2750","68.6750","TopLayer","180","0R"
"R80","RES0603","149.6500","79.0000","149.6500","79.0000","148.9000","79.0000","TopLayer","0","0R"
"R79","RES0603","149.6500","80.5250","149.6500","80.5250","148.9000","80.5250","TopLayer","0","0R"
"R78","RES0603","135.0250","73.8750","135.0250","73.8750","135.0250","73.1250","TopLayer","90","100R"
"R77","RES0603","128.3500","86.4500","128.3500","86.4500","127.6000","86.4500","TopLayer","0","10k"
"R76","RES0603","128.3500","81.8500","128.3500","81.8500","127.6000","81.8500","TopLayer","0","0R"
"R75","RES0603","128.3500","84.9250","128.3500","84.9250","129.1000","84.9250","TopLayer","180","0R"
"R74","RES0603","149.6500","82.0500","149.6500","82.0500","148.9000","82.0500","TopLayer","0","10k"
"R73","RES0603","133.5000","73.8750","133.5000","73.8750","133.5000","74.6250","TopLayer","270","100k"
"R71","RES0603","141.9500","73.8250","141.9500","73.8250","141.9500","73.0750","TopLayer","90","100k"
"R70","RES0603","143.4750","73.8250","143.4750","73.8250","143.4750","73.0750","TopLayer","90","100R"
"R69","RES0603","116.4250","89.6500","116.4250","89.6500","115.6750","89.6500","TopLayer","0","0R"
"R68","RES0603","64.1278","38.0942","64.1278","38.0942","64.1278","37.3442","TopLayer","90","47k"
"R67","RES0603","2.7500","24.4500","2.7500","24.4500","2.7500","25.2000","TopLayer","270","1M"
"R61","RES0603","56.6000","38.1000","56.6000","38.1000","56.6000","38.8500","TopLayer","270","47k"
"R57","RES0603","54.0500","33.8750","54.0500","33.8750","54.8000","33.8750","TopLayer","180","10R"
"L8","IND0402","157.7000","105.5250","157.7000","105.5250","157.2300","105.5250","TopLayer","0","2.7nH"
"L7","IND0402","159.4500","102.6600","159.4500","102.6600","159.4500","102.1900","TopLayer","90","4.3nH"
"D12","LED0603","142.6958","108.4911","142.6958","108.4911","142.6958","107.6911","TopLayer","90","LED RED"
"D11","LED0603","145.2958","108.4911","145.2958","108.4911","145.2958","107.6911","TopLayer","90","LED GREEN"
"D9","SOT23-6","7.4250","16.3000","7.4250","16.3000","8.3750","17.6500","TopLayer","180","USBLC6-2SC6"
"D8","SOT23-6","50.3500","34.8250","50.3500","34.8250","49.0000","35.7750","TopLayer","270","USBLC6-2SC6"
"CON9","microUSB-CHINA","7.8750","23.9500","7.8750","23.9500","9.1750","22.5250","TopLayer","180","microUSB"
"CON8","WE-629104190121","39.6150","34.8200","39.6150","34.8200","44.0050","38.3200","TopLayer","270","629104190121"
"CM4","Raspberry_pi_CM4","103.7500","81.8500","103.7500","81.8500","122.2500","74.5500","TopLayer","0","Raspberry Pi Compute Module 4"
"C35","CAP0402","157.8200","103.1250","157.8200","103.1250","158.3000","103.1250","TopLayer","180","1.8pF"
"C34","CAP0603","128.4000","80.3750","128.4000","80.3750","127.6500","80.3750","TopLayer","0","100nF"
"C33","CAP0603","128.4000","78.9750","128.4000","78.9750","127.6500","78.9750","TopLayer","0","1uF"
"C32","CAP0603","128.4000","77.5750","128.4000","77.5750","127.6500","77.5750","TopLayer","0","10uF"
"C31","CAP0603","1.2750","24.4500","1.2750","24.4500","1.2750","23.7000","TopLayer","90","100nF"
"C30","CAP0603","9.8250","16.2500","9.8250","16.2500","9.8250","17.0000","TopLayer","270","100nF"
"A2","LORA_PCB_ANTENNA","166.3000","100.4750","166.3000","100.4750","162.0000","105.5250","TopLayer","270","SR42I010-R"
"TP6","TestPoint:1.2x1.2mm","54.4000","92.6750","54.4000","92.6750","54.4000","92.6750","TopLayer","180","TestPoint"
"TP5","TestPoint:1.2x1.2mm","75.8493","110.9493","75.8493","110.9493","75.8493","110.9493","TopLayer","270","TestPoint"
"TP4","TestPoint:1.2x1.2mm","54.3250","90.2750","54.3250","90.2750","54.3250","90.2750","TopLayer","180","TestPoint"
"TP3","TestPoint:1.2x1.2mm","79.4493","110.9493","79.4493","110.9493","79.4493","110.9493","TopLayer","270","TestPoint"
"C28","CAP0603","51.1000","38.3250","51.1000","38.3250","50.3500","38.3250","TopLayer","0","100nF"
"U16","E22-900M22S","139.0500","86.4750","139.0500","86.4750","132.0550","94.9750","TopLayer","180","E22-900M22S"
